ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC14,0,-4.1,118,1.556384,1.556384,Bank #1 || Task: None,(30.5, 1.8, 357.0)
BNC14,0,-4.1,119,1.563264,1.563264,Bank #1 || Task: None,(31.0, 1.9, 356.9)
BNC14,0,-4.1,120,1.570286,1.570286,Bank #1 || Task: None,(31.4, 1.9, 357.0)
BNC14,0,-4.1,121,1.577237,1.577237,Bank #1 || Task: None,(31.8, 2.0, 357.0)
BNC14,0,-4.1,122,1.584138,1.584138,Bank #1 || Task: None,(32.3, 1.9, 357.1)
BNC14,0,-4.1,123,1.591114,1.591114,Bank #1 || Task: None,(32.8, 1.9, 357.2)
BNC14,0,-4.1,124,1.598139,1.598139,Bank #1 || Task: None,(33.3, 1.8, 357.1)
BNC14,0,-4.1,125,1.604973,1.604973,Bank #1 || Task: None,(33.7, 1.7, 357.1)
BNC14,0,-4.1,126,1.611918,1.611918,Bank #1 || Task: None,(33.8, 1.6, 357.1)
BNC14,0,-4.1,127,1.619017,1.619017,Bank #1 || Task: None,(33.9, 1.5, 357.0)
BNC14,0,-4.1,128,1.625782,1.625782,Bank #1 || Task: None,(33.8, 1.4, 356.9)
BNC14,0,-4.1,129,1.632735,1.632735,Bank #1 || Task: None,(33.7, 1.3, 356.7)
BNC14,0,-4.1,130,1.639701,1.639701,Bank #1 || Task: None,(33.5, 1.2, 356.6)
BNC14,0,-4.1,131,1.646681,1.646681,Bank #1 || Task: None,(33.3, 1.1, 356.5)
BNC14,0,-4.1,132,1.653591,1.653591,Bank #1 || Task: None,(33.1, 1.0, 356.4)
BNC14,0,-4.1,133,1.660607,1.660607,Bank #1 || Task: None,(32.9, 0.9, 356.4)
BNC14,0,-4.1,134,1.667506,1.667506,Bank #1 || Task: None,(32.7, 0.9, 356.4)
BNC14,0,-4.1,135,1.674426,1.674426,Bank #1 || Task: None,(32.6, 0.8, 356.4)
BNC14,0,-4.1,136,1.68138,1.68138,Bank #1 || Task: None,(32.5, 0.8, 356.4)
BNC14,0,-4.1,137,1.688425,1.688425,Bank #1 || Task: None,(32.5, 0.8, 356.5)
BNC14,0,-4.1,138,1.695457,1.695457,Bank #1 || Task: None,(32.4, 0.7, 356.5)
BNC14,0,-4.1,139,1.702159,1.702159,Bank #1 || Task: None,(32.4, 0.7, 356.6)
BNC14,0,-4.1,140,1.709176,1.709176,Bank #1 || Task: None,(32.3, 0.7, 356.6)
BNC14,0,-4.1,141,1.716054,1.716054,Bank #1 || Task: None,(32.3, 0.7, 356.7)
BNC14,0,-4.1,142,1.723004,1.723004,Bank #1 || Task: None,(32.4, 0.7, 356.7)
BNC14,0,-4.1,143,1.729948,1.729948,Bank #1 || Task: None,(32.4, 0.7, 356.8)
BNC14,0,-4.1,144,1.737606,1.737606,Bank #1 || Task: None,(32.4, 0.7, 356.8)
BNC14,0,-4.1,145,1.743871,1.743871,Bank #1 || Task: None,(32.4, 0.7, 356.9)
BNC14,0,-4.1,146,1.750813,1.750813,Bank #1 || Task: None,(32.4, 0.7, 356.9)
BNC14,0,-4.1,147,1.757842,1.757842,Bank #1 || Task: None,(32.3, 0.7, 356.9)
BNC14,0,-4.1,148,1.764717,1.764717,Bank #1 || Task: None,(32.3, 0.7, 356.9)
BNC14,0,-4.1,149,1.771687,1.771687,Bank #1 || Task: None,(32.3, 0.7, 357.0)
BNC14,0,-4.1,150,1.778745,1.778745,Bank #1 || Task: None,(32.2, 0.7, 357.0)
BNC14,0,-4.1,151,1.785952,1.785952,Bank #1 || Task: None,(32.2, 0.7, 357.0)
BNC14,0,-4.1,152,1.792519,1.792519,Bank #1 || Task: None,(32.2, 0.7, 357.0)
BNC14,0,-4.1,153,1.799442,1.799442,Bank #1 || Task: None,(32.1, 0.7, 357.0)
BNC14,0,-4.1,154,1.806415,1.806415,Bank #1 || Task: None,(32.1, 0.6, 357.0)
BNC14,0,-4.1,155,1.813268,1.813268,Bank #1 || Task: None,(32.0, 0.6, 357.0)
BNC14,0,-4.1,156,1.820216,1.820216,Bank #1 || Task: None,(32.0, 0.6, 357.0)
BNC14,0,-4.1,157,1.82733,1.82733,Bank #1 || Task: None,(31.9, 0.6, 357.0)
BNC14,0,-4.1,158,1.834398,1.834398,Bank #1 || Task: None,(31.8, 0.5, 357.0)
BNC14,0,-4.1,159,1.841143,1.841143,Bank #1 || Task: None,(31.7, 0.5, 356.9)
BNC14,0,-4.1,160,1.848009,1.848009,Bank #1 || Task: None,(31.5, 0.5, 356.9)
BNC14,0,-4.1,161,1.85493,1.85493,Bank #1 || Task: None,(31.3, 0.5, 356.9)
BNC14,0,-4.1,162,1.861898,1.861898,Bank #1 || Task: None,(31.1, 0.4, 356.9)
BNC14,0,-4.1,163,1.868823,1.868823,Bank #1 || Task: None,(30.8, 0.4, 356.9)
BNC14,0,-4.1,164,1.875864,1.875864,Bank #1 || Task: None,(30.5, 0.4, 356.9)
BNC14,0,-4.1,165,1.882701,1.882701,Bank #1 || Task: None,(30.1, 0.4, 356.9)
BNC14,0,-4.1,166,1.889661,1.889661,Bank #1 || Task: None,(29.7, 0.4, 356.9)
BNC14,0,-4.1,167,1.896734,1.896734,Bank #1 || Task: None,(29.3, 0.4, 356.9)
BNC14,0,-4.1,168,1.903584,1.903584,Bank #1 || Task: None,(28.8, 0.4, 356.9)
BNC14,0,-4.1,169,1.910542,1.910542,Bank #1 || Task: None,(28.3, 0.4, 356.9)
BNC14,0,-4.1,170,1.91754,1.91754,Bank #1 || Task: None,(27.9, 0.4, 356.9)
BNC14,0,-4.1,171,1.924415,1.924415,Bank #1 || Task: None,(27.4, 0.4, 356.9)
BNC14,0,-4.1,172,1.931345,1.931345,Bank #1 || Task: None,(26.9, 0.5, 356.9)
BNC14,0,-4.1,173,1.939062,1.939062,Bank #1 || Task: None,(26.4, 0.5, 356.9)
BNC14,0,-4.1,174,1.94541,1.94541,Bank #1 || Task: None,(25.8, 0.5, 356.9)
BNC14,0,-4.1,175,1.952163,1.952163,Bank #1 || Task: None,(25.3, 0.6, 357.0)
BNC14,0,-4.1,176,1.959143,1.959143,Bank #1 || Task: None,(24.8, 0.6, 357.0)
BNC14,0,-4.1,177,1.966153,1.966153,Bank #1 || Task: None,(24.2, 0.6, 357.0)
BNC14,0,-4.1,178,1.972969,1.972969,Bank #1 || Task: None,(23.7, 0.7, 357.0)
BNC14,0,-4.1,179,1.979948,1.979948,Bank #1 || Task: None,(23.1, 0.7, 357.0)
BNC14,0,-4.1,180,1.986838,1.986838,Bank #1 || Task: None,(22.6, 0.7, 357.0)
BNC14,0,-4.1,181,1.993844,1.993844,Bank #1 || Task: None,(22.1, 0.8, 357.0)
BNC14,0,-4.1,182,2.000787,2.000787,Bank #1 || Task: None,(21.6, 0.8, 357.0)
