ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNCTour,0,-4.1,4562,32.09138,32.09138,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4563,32.09827,32.09827,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4564,32.10521,32.10521,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4565,32.11214,32.11214,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4566,32.1193,32.1193,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4567,32.12613,32.12613,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4568,32.13313,32.13313,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4569,32.14003,32.14003,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4570,32.14707,32.14707,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4571,32.15396,32.15396,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4572,32.1608,32.1608,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4573,32.16773,32.16773,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4574,32.17478,32.17478,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4575,32.18161,32.18161,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4576,32.18871,32.18871,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4577,32.19555,32.19555,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4578,32.2025,32.2025,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4579,32.20945,32.20945,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4580,32.21749,32.21749,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4581,32.22336,32.22336,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4582,32.23022,32.23022,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4583,32.23721,32.23721,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4584,32.24417,32.24417,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4585,32.25123,32.25123,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4586,32.25811,32.25811,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4587,32.26498,32.26498,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4588,32.27184,32.27184,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4589,32.279,32.279,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4590,32.28577,32.28577,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4591,32.29273,32.29273,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4592,32.29966,32.29966,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4593,32.30671,32.30671,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4594,32.31384,32.31384,Bank #1 || Task: None,(0.0, 0.0, 0.0)
